lakeID	dateTime	localTZ	daylightSavings	wtr0.5	wtr4.5
Loch	2016-07-27 16:09:00	Mountain	yes	13.498	11.146
Loch	2016-07-27 16:39:00	Mountain	yes	13.41	11.146
Loch	2016-07-27 17:09:00	Mountain	yes	13.612	11.146
Loch	2016-07-27 17:39:00	Mountain	yes	13.656	11.155
Loch	2016-07-27 18:09:00	Mountain	yes	13.84	11.2
Loch	2016-07-27 18:39:00	Mountain	yes	13.778	11.209
Loch	2016-07-27 19:09:00	Mountain	yes	13.831	11.2
Loch	2016-07-27 19:39:00	Mountain	yes	13.813	11.164
Loch	2016-07-27 20:09:00	Mountain	yes	13.743	11.191
Loch	2016-07-27 20:39:00	Mountain	yes	13.787	11.227
Loch	2016-07-27 21:09:00	Mountain	yes	13.805	11.227
Loch	2016-07-27 21:39:00	Mountain	yes	13.752	11.218
Loch	2016-07-27 22:09:00	Mountain	yes	13.673	11.2
Loch	2016-07-27 22:39:00	Mountain	yes	13.656	11.209
Loch	2016-07-27 23:09:00	Mountain	yes	13.629	11.227
Loch	2016-07-27 23:39:00	Mountain	yes	13.603	11.29
Loch	2016-07-28 00:09:00	Mountain	yes	13.568	11.11
Loch	2016-07-28 00:39:00	Mountain	yes	13.506	10.974
Loch	2016-07-28 01:09:00	Mountain	yes	13.454	10.829
Loch	2016-07-28 01:39:00	Mountain	yes	13.419	10.648
Loch	2016-07-28 02:09:00	Mountain	yes	13.383	10.603
Loch	2016-07-28 02:39:00	Mountain	yes	13.322	10.457
Loch	2016-07-28 03:09:00	Mountain	yes	13.243	10.339
Loch	2016-07-28 03:39:00	Mountain	yes	13.163	10.211
Loch	2016-07-28 04:09:00	Mountain	yes	13.146	10.229
Loch	2016-07-28 04:39:00	Mountain	yes	13.119	10.174
Loch	2016-07-28 05:09:00	Mountain	yes	13.004	10.056
Loch	2016-07-28 05:39:00	Mountain	yes	12.951	9.955
Loch	2016-07-28 06:09:00	Mountain	yes	12.898	9.946
Loch	2016-07-28 06:39:00	Mountain	yes	12.916	9.863
