lakeID	timestamp	localTZ	daylightSavings	PAR
Loch	2016-07-24 13:00:00	Mountain	yes	734.05
Loch	2016-07-24 14:00:00	Mountain	yes	290.37
Loch	2016-07-24 15:00:00	Mountain	yes	264.52
Loch	2016-07-24 16:00:00	Mountain	yes	573.37
Loch	2016-07-24 17:00:00	Mountain	yes	123.67
Loch	2016-07-24 18:00:00	Mountain	yes	39.29
Loch	2016-07-24 19:00:00	Mountain	yes	18.12
Loch	2016-07-24 20:00:00	Mountain	yes	2.3
Loch	2016-07-24 21:00:00	Mountain	yes	0
Loch	2016-07-24 22:00:00	Mountain	yes	0
Loch	2016-07-24 23:00:00	Mountain	yes	-0.04
Loch	2016-07-25 00:00:00	Mountain	yes	0
Loch	2016-07-25 01:00:00	Mountain	yes	-0.02
Loch	2016-07-25 02:00:00	Mountain	yes	-0.19
Loch	2016-07-25 03:00:00	Mountain	yes	-0.36
Loch	2016-07-25 04:00:00	Mountain	yes	-0.11
Loch	2016-07-25 05:00:00	Mountain	yes	1.29
Loch	2016-07-25 06:00:00	Mountain	yes	70.69
Loch	2016-07-25 07:00:00	Mountain	yes	298.47
Loch	2016-07-25 08:00:00	Mountain	yes	519.28
Loch	2016-07-25 09:00:00	Mountain	yes	718.68
Loch	2016-07-25 10:00:00	Mountain	yes	877.83
Loch	2016-07-25 11:00:00	Mountain	yes	975.33
Loch	2016-07-25 12:00:00	Mountain	yes	1035.33
Loch	2016-07-25 13:00:00	Mountain	yes	817.28
Loch	2016-07-25 14:00:00	Mountain	yes	555.1
Loch	2016-07-25 15:00:00	Mountain	yes	360
Loch	2016-07-25 16:00:00	Mountain	yes	425.02
Loch	2016-07-25 17:00:00	Mountain	yes	146.22
Loch	2016-07-25 18:00:00	Mountain	yes	80.22
Loch	2016-07-25 19:00:00	Mountain	yes	21.02
Loch	2016-07-25 20:00:00	Mountain	yes	2.48
Loch	2016-07-25 21:00:00	Mountain	yes	-0.5
Loch	2016-07-25 22:00:00	Mountain	yes	-0.4
Loch	2016-07-25 23:00:00	Mountain	yes	-0.01
Loch	2016-07-26 00:00:00	Mountain	yes	0
Loch	2016-07-26 01:00:00	Mountain	yes	0
Loch	2016-07-26 02:00:00	Mountain	yes	-0.12
Loch	2016-07-26 03:00:00	Mountain	yes	0
Loch	2016-07-26 04:00:00	Mountain	yes	0
Loch	2016-07-26 05:00:00	Mountain	yes	1.46
Loch	2016-07-26 06:00:00	Mountain	yes	33.47
Loch	2016-07-26 07:00:00	Mountain	yes	121.4
Loch	2016-07-26 08:00:00	Mountain	yes	186.15
Loch	2016-07-26 09:00:00	Mountain	yes	282
Loch	2016-07-26 10:00:00	Mountain	yes	319.98
Loch	2016-07-26 11:00:00	Mountain	yes	399.3
Loch	2016-07-26 12:00:00	Mountain	yes	475.07
Loch	2016-07-26 13:00:00	Mountain	yes	704.65
Loch	2016-07-26 14:00:00	Mountain	yes	327.43
Loch	2016-07-26 15:00:00	Mountain	yes	191.32
Loch	2016-07-26 16:00:00	Mountain	yes	124.57
Loch	2016-07-26 17:00:00	Mountain	yes	38.79
Loch	2016-07-26 18:00:00	Mountain	yes	32.83
Loch	2016-07-26 19:00:00	Mountain	yes	44.02
Loch	2016-07-26 20:00:00	Mountain	yes	2.77
Loch	2016-07-26 21:00:00	Mountain	yes	0
Loch	2016-07-26 22:00:00	Mountain	yes	0
Loch	2016-07-26 23:00:00	Mountain	yes	0
Loch	2016-07-27 00:00:00	Mountain	yes	0
Loch	2016-07-27 01:00:00	Mountain	yes	0
Loch	2016-07-27 02:00:00	Mountain	yes	0
Loch	2016-07-27 03:00:00	Mountain	yes	0
Loch	2016-07-27 04:00:00	Mountain	yes	0
Loch	2016-07-27 05:00:00	Mountain	yes	0.74
Loch	2016-07-27 06:00:00	Mountain	yes	64.61
Loch	2016-07-27 07:00:00	Mountain	yes	231.02
Loch	2016-07-27 08:00:00	Mountain	yes	383.68
Loch	2016-07-27 09:00:00	Mountain	yes	689.03
Loch	2016-07-27 10:00:00	Mountain	yes	868
Loch	2016-07-27 11:00:00	Mountain	yes	972.17
Loch	2016-07-27 12:00:00	Mountain	yes	909.68
Loch	2016-07-27 13:00:00	Mountain	yes	988.33
Loch	2016-07-27 14:00:00	Mountain	yes	957.83
Loch	2016-07-27 15:00:00	Mountain	yes	799.17
Loch	2016-07-27 16:00:00	Mountain	yes	540.23
Loch	2016-07-27 17:00:00	Mountain	yes	92.49
Loch	2016-07-27 18:00:00	Mountain	yes	68.84
Loch	2016-07-27 19:00:00	Mountain	yes	39.92
Loch	2016-07-27 20:00:00	Mountain	yes	3.21
Loch	2016-07-27 21:00:00	Mountain	yes	-0.1
Loch	2016-07-27 22:00:00	Mountain	yes	0
Loch	2016-07-27 23:00:00	Mountain	yes	0
Loch	2016-07-28 00:00:00	Mountain	yes	0
Loch	2016-07-28 01:00:00	Mountain	yes	0
Loch	2016-07-28 02:00:00	Mountain	yes	-0.35
Loch	2016-07-28 03:00:00	Mountain	yes	-0.03
Loch	2016-07-28 04:00:00	Mountain	yes	0
Loch	2016-07-28 05:00:00	Mountain	yes	0.56
Loch	2016-07-28 06:00:00	Mountain	yes	62.98
Loch	2016-07-28 07:00:00	Mountain	yes	303.25
Loch	2016-07-28 08:00:00	Mountain	yes	517.7
Loch	2016-07-28 09:00:00	Mountain	yes	705.72
Loch	2016-07-28 10:00:00	Mountain	yes	855.33
Loch	2016-07-28 11:00:00	Mountain	yes	947.17
Loch	2016-07-28 12:00:00	Mountain	yes	782.38
Loch	2016-07-28 13:00:00	Mountain	yes	569.37
Loch	2016-07-28 14:00:00	Mountain	yes	305.32
Loch	2016-07-28 15:00:00	Mountain	yes	504.53
Loch	2016-07-28 16:00:00	Mountain	yes	250.48
Loch	2016-07-28 17:00:00	Mountain	yes	129.55
Loch	2016-07-28 18:00:00	Mountain	yes	78.12
Loch	2016-07-28 19:00:00	Mountain	yes	19.81
Loch	2016-07-28 20:00:00	Mountain	yes	2.2
Loch	2016-07-28 21:00:00	Mountain	yes	0
Loch	2016-07-28 22:00:00	Mountain	yes	0
Loch	2016-07-28 23:00:00	Mountain	yes	0
Loch	2016-07-29 00:00:00	Mountain	yes	0
Loch	2016-07-29 01:00:00	Mountain	yes	0
Loch	2016-07-29 02:00:00	Mountain	yes	0
Loch	2016-07-29 03:00:00	Mountain	yes	-0.03
Loch	2016-07-29 04:00:00	Mountain	yes	-0.12
Loch	2016-07-29 05:00:00	Mountain	yes	0.42
Loch	2016-07-29 06:00:00	Mountain	yes	55.38
Loch	2016-07-29 07:00:00	Mountain	yes	292.22
Loch	2016-07-29 08:00:00	Mountain	yes	510.37
Loch	2016-07-29 09:00:00	Mountain	yes	702.12
Loch	2016-07-29 10:00:00	Mountain	yes	869.2
Loch	2016-07-29 11:00:00	Mountain	yes	780.72
Loch	2016-07-29 12:00:00	Mountain	yes	793.95
Loch	2016-07-29 13:00:00	Mountain	yes	783.3
Loch	2016-07-29 14:00:00	Mountain	yes	799.75
Loch	2016-07-29 15:00:00	Mountain	yes	752.58
Loch	2016-07-29 16:00:00	Mountain	yes	336.47
Loch	2016-07-29 17:00:00	Mountain	yes	132.65
Loch	2016-07-29 18:00:00	Mountain	yes	91.6
Loch	2016-07-29 19:00:00	Mountain	yes	24.5
Loch	2016-07-29 20:00:00	Mountain	yes	1.93
Loch	2016-07-29 21:00:00	Mountain	yes	-0.01
Loch	2016-07-29 22:00:00	Mountain	yes	0
Loch	2016-07-29 23:00:00	Mountain	yes	-0.09
Loch	2016-07-30 00:00:00	Mountain	yes	-0.21
Loch	2016-07-30 01:00:00	Mountain	yes	-0.01
Loch	2016-07-30 02:00:00	Mountain	yes	0
Loch	2016-07-30 03:00:00	Mountain	yes	-0.02
Loch	2016-07-30 04:00:00	Mountain	yes	0
Loch	2016-07-30 05:00:00	Mountain	yes	0.54
Loch	2016-07-30 06:00:00	Mountain	yes	52.73
Loch	2016-07-30 07:00:00	Mountain	yes	303.95
Loch	2016-07-30 08:00:00	Mountain	yes	517.72
Loch	2016-07-30 09:00:00	Mountain	yes	707.98
Loch	2016-07-30 10:00:00	Mountain	yes	859.17
Loch	2016-07-30 11:00:00	Mountain	yes	943.5
Loch	2016-07-30 12:00:00	Mountain	yes	814.68
Loch	2016-07-30 13:00:00	Mountain	yes	808.28
Loch	2016-07-30 14:00:00	Mountain	yes	722.07
Loch	2016-07-30 15:00:00	Mountain	yes	591.67
Loch	2016-07-30 16:00:00	Mountain	yes	302.77
Loch	2016-07-30 17:00:00	Mountain	yes	183.43
Loch	2016-07-30 18:00:00	Mountain	yes	85.29
Loch	2016-07-30 19:00:00	Mountain	yes	44.97
Loch	2016-07-30 20:00:00	Mountain	yes	2.73
Loch	2016-07-30 21:00:00	Mountain	yes	-0.21
Loch	2016-07-30 22:00:00	Mountain	yes	-0.01
Loch	2016-07-30 23:00:00	Mountain	yes	-0.01
Loch	2016-07-31 00:00:00	Mountain	yes	-0.01
Loch	2016-07-31 01:00:00	Mountain	yes	0
Loch	2016-07-31 02:00:00	Mountain	yes	0
Loch	2016-07-31 03:00:00	Mountain	yes	0
Loch	2016-07-31 04:00:00	Mountain	yes	0
Loch	2016-07-31 05:00:00	Mountain	yes	0.58
Loch	2016-07-31 06:00:00	Mountain	yes	46.39
Loch	2016-07-31 07:00:00	Mountain	yes	245.12
Loch	2016-07-31 08:00:00	Mountain	yes	464.97
Loch	2016-07-31 09:00:00	Mountain	yes	403.33
Loch	2016-07-31 10:00:00	Mountain	yes	837.1
Loch	2016-07-31 11:00:00	Mountain	yes	817.67
Loch	2016-07-31 12:00:00	Mountain	yes	851.87
Loch	2016-07-31 13:00:00	Mountain	yes	541.05
Loch	2016-07-31 14:00:00	Mountain	yes	370.45
Loch	2016-07-31 15:00:00	Mountain	yes	351.76
Loch	2016-07-31 16:00:00	Mountain	yes	267.53
Loch	2016-07-31 17:00:00	Mountain	yes	48.19
Loch	2016-07-31 18:00:00	Mountain	yes	93.41
Loch	2016-07-31 19:00:00	Mountain	yes	47.58
Loch	2016-07-31 20:00:00	Mountain	yes	1.49
Loch	2016-07-31 21:00:00	Mountain	yes	0
Loch	2016-07-31 22:00:00	Mountain	yes	0
Loch	2016-07-31 23:00:00	Mountain	yes	0
Loch	2016-08-01 00:00:00	Mountain	yes	0
Loch	2016-08-01 01:00:00	Mountain	yes	0
Loch	2016-08-01 02:00:00	Mountain	yes	0
Loch	2016-08-01 03:00:00	Mountain	yes	0
Loch	2016-08-01 04:00:00	Mountain	yes	0
Loch	2016-08-01 05:00:00	Mountain	yes	0.55
Loch	2016-08-01 06:00:00	Mountain	yes	42.01
Loch	2016-08-01 07:00:00	Mountain	yes	292.18
Loch	2016-08-01 08:00:00	Mountain	yes	511.75
Loch	2016-08-01 09:00:00	Mountain	yes	708.32
Loch	2016-08-01 10:00:00	Mountain	yes	879.5
Loch	2016-08-01 11:00:00	Mountain	yes	965.83
Loch	2016-08-01 12:00:00	Mountain	yes	1016.33
Loch	2016-08-01 13:00:00	Mountain	yes	1005.17
Loch	2016-08-01 14:00:00	Mountain	yes	914.83
Loch	2016-08-01 15:00:00	Mountain	yes	687.98
Loch	2016-08-01 16:00:00	Mountain	yes	248.72
Loch	2016-08-01 17:00:00	Mountain	yes	119.11
Loch	2016-08-01 18:00:00	Mountain	yes	24.3
Loch	2016-08-01 19:00:00	Mountain	yes	8.28
Loch	2016-08-01 20:00:00	Mountain	yes	1.08
Loch	2016-08-01 21:00:00	Mountain	yes	-0.35
Loch	2016-08-01 22:00:00	Mountain	yes	-0.02
Loch	2016-08-01 23:00:00	Mountain	yes	-0.29
Loch	2016-08-02 00:00:00	Mountain	yes	-0.18
Loch	2016-08-02 01:00:00	Mountain	yes	-0.2
Loch	2016-08-02 02:00:00	Mountain	yes	-0.06
Loch	2016-08-02 03:00:00	Mountain	yes	-0.18
Loch	2016-08-02 04:00:00	Mountain	yes	-0.25
Loch	2016-08-02 05:00:00	Mountain	yes	1.46
Loch	2016-08-02 06:00:00	Mountain	yes	67.88
Loch	2016-08-02 07:00:00	Mountain	yes	279.35
Loch	2016-08-02 08:00:00	Mountain	yes	480.68
Loch	2016-08-02 09:00:00	Mountain	yes	430.57
Loch	2016-08-02 10:00:00	Mountain	yes	712.48
Loch	2016-08-02 11:00:00	Mountain	yes	464.37
Loch	2016-08-02 12:00:00	Mountain	yes	247.97
Loch	2016-08-02 13:00:00	Mountain	yes	121.18
Loch	2016-08-02 14:00:00	Mountain	yes	473.3
Loch	2016-08-02 15:00:00	Mountain	yes	41.18
Loch	2016-08-02 16:00:00	Mountain	yes	189.35
Loch	2016-08-02 17:00:00	Mountain	yes	117.16
Loch	2016-08-02 18:00:00	Mountain	yes	75.17
Loch	2016-08-02 19:00:00	Mountain	yes	26.35
Loch	2016-08-02 20:00:00	Mountain	yes	0.94
Loch	2016-08-02 21:00:00	Mountain	yes	0
Loch	2016-08-02 22:00:00	Mountain	yes	-0.01
Loch	2016-08-02 23:00:00	Mountain	yes	-0.28
Loch	2016-08-03 00:00:00	Mountain	yes	0
Loch	2016-08-03 01:00:00	Mountain	yes	-0.04
Loch	2016-08-03 02:00:00	Mountain	yes	-0.27
Loch	2016-08-03 03:00:00	Mountain	yes	0
Loch	2016-08-03 04:00:00	Mountain	yes	0
Loch	2016-08-03 05:00:00	Mountain	yes	0.39
Loch	2016-08-03 06:00:00	Mountain	yes	29.83
Loch	2016-08-03 07:00:00	Mountain	yes	265.93
Loch	2016-08-03 08:00:00	Mountain	yes	484.47
Loch	2016-08-03 09:00:00	Mountain	yes	678.53
Loch	2016-08-03 10:00:00	Mountain	yes	825.68
Loch	2016-08-03 11:00:00	Mountain	yes	929.83
Loch	2016-08-03 12:00:00	Mountain	yes	701.42
Loch	2016-08-03 13:00:00	Mountain	yes	99.44
Loch	2016-08-03 14:00:00	Mountain	yes	800.2
Loch	2016-08-03 15:00:00	Mountain	yes	669.35
Loch	2016-08-03 16:00:00	Mountain	yes	183.65
